DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,p7440,DPTO,MES,fex_c_2018
5542348,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,20,1000000,2,1,,52,08,13.732504184
5542348,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,13.732504184
5542349,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,1.4,52,08,9.5962987589
5542350,1,1,1,80,52,1,3,,2,,,9,,2,,2,,2,,908000,2,1,2,52,08,22.84025252
5542353,1,2,1,80,52,2,,,,1,2,9,,2,,2,,1,24,908000,2,1,,52,08,9.5962987589
5542353,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,9.5962987589
5542354,1,1,1,80,52,1,1,,2,,,8,,2,,2,,,,,2,1,3,52,08,16.446357709
5542354,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,08,16.446357709
5542355,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,08,13.317240953
5542355,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,13.317240953
5542357,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,9.5962987589
5542358,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,26.936313347
5542359,1,2,1,80,52,1,3,,1,,1,12,POR LA PANDEMIA,2,,2,,1,24,908000,2,1,4,52,08,27.339455773
5542359,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,27.339455773
5542360,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,08,38.385195035
5542360,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,1.4,52,08,38.385195035
5548420,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5548422,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,29.233823948
5548422,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,29.233823948
5548422,1,6,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,29.233823948
5548423,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,30.829274387
5548423,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,30.829274387
5548425,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,20,1000000,2,1,,52,09,44.817418575
5548426,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5548426,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5548426,1,6,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5548427,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,44.116705981
5548428,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,20.474333775
5548429,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,18.164238169
5548431,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,48.602693603
5548432,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5548433,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,2,52,09,32.295965376
5548434,1,1,1,80,52,1,6,,1,,2,4,,2,,2,,2,,900000,2,1,4,52,09,35.014593872
5548434,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,2,52,09,35.014593872
5548434,1,4,1,80,52,1,3,,2,,,9,,2,,2,,1,20,900000,2,1,2,52,09,35.014593872
5548435,1,1,1,80,52,1,9,POR LA PANDEMIA,2,,,12,POR LA PANDEMIA,2,,2,,1,40,908000,2,1,2,52,09,12.150673401
5549600,1,1,1,80,52,1,7,,2,,,4,,2,,2,,,,,2,1,1.4,52,09,12.150673401
5549600,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5550775,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,3,52,09,12.150673401
5550775,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5550776,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,48.602693603
5550778,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,09,18.164238169
5550780,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,3,52,09,22.068333486
5550781,1,1,1,80,52,1,8,,2,,,2,,2,,2,,1,24,800000,2,1,1.4,52,09,12.150673401
5550782,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,30.128561792
5550783,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5550786,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5553804,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5553805,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,23.743310704
5553805,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,23.743310704
5553806,1,3,1,80,52,1,4,,2,,,4,,2,,2,,2,,800000,2,1,1.2,52,09,12.150673401
5553806,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5553807,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,18.864950764
5553808,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,27.901785416
5553809,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,41.562374219
5553809,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,41.562374219
5554398,1,2,1,80,52,1,6,,2,,,8,,2,,2,,,,,2,1,3,52,09,12.150673401
5554399,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5554404,1,1,1,80,52,1,2,,2,,,2,,2,,2,,1,20,600000,2,1,1.2,52,09,14.416638071
5554586,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,23.110534038
5554587,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5554587,1,4,1,80,52,1,2,,2,,,2,,2,,2,,1,20,1000000,2,1,3,52,09,12.150673401
5554587,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5554588,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,09,30.128561792
5554589,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,09,18.864950764
5554589,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,18.864950764
5554590,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,36.608593584
5554590,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,36.608593584
5554592,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5554593,1,1,1,80,52,1,8,,2,,,1,,2,,2,,1,40,700000,2,1,2,52,09,12.150673401
5559070,1,1,1,80,52,1,4,,2,,,4,,2,,2,,2,,700000,2,1,1.4,52,09,37.310756905
5559071,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5559071,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5559071,1,8,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5559071,1,9,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5559072,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5559072,1,2,1,80,52,1,6,,1,,3,1,,2,,2,,1,30,800000,2,1,4,52,09,12.150673401
5559072,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5559073,1,2,1,80,52,1,8,,2,,,1,,2,,2,,2,,1200000,2,1,2,52,09,12.150673401
5559073,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5559074,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,18.164238169
5560112,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,15.037393531
5560112,1,4,1,80,52,2,,,,2,,,.,2,,2,,2,,1000000,2,1,,52,09,15.037393531
5560113,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,48.602693603
5560113,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,48.602693603
5560113,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,48.602693603
5560114,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5560115,1,1,1,80,52,1,3,,2,,,9,,2,,2,,1,20,500000,2,1,4,52,09,23.110534038
5560115,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,23.110534038
5560116,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.150673401
5560116,1,3,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,09,12.150673401
5560283,1,2,1,80,52,1,3,,2,,,9,,2,,2,,2,,700000,2,1,1.4,52,09,12.150673401
5560284,1,1,1,80,52,1,7,,2,,,1,,2,,2,,,,,2,1,2,52,09,12.150673401
5560286,1,1,1,80,52,1,3,,2,,,1,,2,,2,,,,,2,1,3,52,09,42.523597265
5560287,1,1,1,80,52,1,4,,2,,,4,,2,,2,,2,,500000,2,1,3,52,09,12.150673401
5560288,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,13.926553428
5565243,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,12.882902149
5565244,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,30.699623941
5565244,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,30.699623941
5565246,1,2,1,80,52,1,3,,2,,,1,,2,,2,,,,,2,1,4,52,09,18.864950764
5565250,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,19.839215387
5566210,1,1,1,80,52,1,8,,1,,1,1,,2,,2,,2,,900000,2,1,2,52,09,21.584470256
5566214,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,32.928742041
5566214,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,09,32.928742041
5566215,1,1,1,80,52,1,4,,2,,,4,,2,,2,,1,20,600000,2,1,4,52,09,18.164238169
5576887,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,20,800000,2,1,,52,10,19.775897104
5576887,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,19.775897104
5576888,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,34.266363218
5576889,1,1,1,80,52,1,9,POR LA PANDEMIA,2,,,12,POR LA PANDEMIA,2,,2,,1,24,800000,2,1,2,52,10,12.620483683
5578564,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,16.33114316
5578564,1,3,1,80,52,2,,,,2,,,.,2,,2,,2,,800000,2,1,,52,10,16.33114316
5578567,1,1,1,80,52,1,3,,2,,,9,,2,,2,,1,24,600000,2,1,4,52,10,30.69666432
5578567,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,30.69666432
5579124,1,1,1,80,52,1,9,PORQUE SUS HIJOS LA MANTIENEN POR COMPLETO,2,,,12,NO QUIERE TRABAJAR MAS,2,,2,,,,,2,1,4,52,10,26.131604651
5579125,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,29.250834965
5579127,1,1,1,80,52,1,4,,1,,4,4,,2,,2,,,,,2,1,4,52,10,20.987043266
5579129,1,3,1,80,52,1,2,,2,,,2,,2,,2,,,,,2,1,2,52,10,20.390583069
5579129,1,4,1,80,52,2,,,,2,,,.,2,,2,,1,24,800000,2,1,,52,10,20.390583069
5579130,1,1,1,80,52,1,3,,1,,1,9,,2,,2,,1,40,908000,2,1,2,52,10,27.480488754
5579131,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,34.556511065
5584584,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,3,52,10,13.979994228
5584584,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,13.979994228
5585102,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,12.620483683
5585102,1,4,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,12.620483683
5585103,1,1,1,80,52,1,7,,2,,,8,,2,,2,,1,28,700000,2,1,2,52,10,17.099224543
5585103,1,2,1,80,52,1,3,,2,,,8,,2,,2,,,,,2,1,4,52,10,17.099224543
5585104,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,39.453282791
5585406,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,1.3,52,10,34.037784839
5585406,1,5,1,80,52,2,,,,2,,,.,2,,2,,2,,500000,2,1,,52,10,34.037784839
5585408,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,25.033609952
5585411,1,1,1,80,52,2,,,,2,,,.,3,,2,,,,,3,1,,52,10,12.620483683
5585411,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,12.620483683
5590859,1,3,1,80,52,2,,,,2,,,.,2,,2,,2,,600000,2,1,,52,10,12.620483683
5590859,1,7,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,12.620483683
5590860,1,2,1,80,52,1,3,,2,,,9,,2,,2,,1,40,600000,2,1,3,52,10,30.925242699
5590863,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,40.995557649
5590867,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,18.026560914
5590868,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,12.620483683
5590869,1,4,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,20.555286214
5590870,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,21.234832926
5591251,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,2,52,10,13.979994228
5591251,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,13.979994228
5591252,1,3,1,80,52,1,9,SE MUDO DE PAIS,2,,,1,,2,,2,,,,,2,1,1.4,52,10,14.810152106
5591256,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,12.881999529
5591256,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,12.881999529
5591258,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,29.376279667
5595065,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,19.285670329
5595066,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,3,52,10,18.157960799
5595067,1,2,1,80,52,1,4,,2,,,4,,2,,2,,1,20,600000,2,1,3,52,10,20.987043266
5595068,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,29.250834965
5596314,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,22.530051115
5596315,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,15.660007028
5596316,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,19.248201576
5596316,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,19.248201576
5596317,1,1,1,80,52,1,8,,2,,,9,,2,,2,,1,24,400000,2,1,2,52,10,28.421683863
5596319,1,2,1,80,52,1,6,,2,,,9,,1,,2,,,,,2,1,4,52,10,29.701803298
5596319,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,29.701803298
5597236,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,13.979994228
5597237,1,2,1,80,52,2,,,,2,,,.,2,,2,,2,,700000,2,1,,52,10,22.959002653
5597237,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,22.959002653
5597238,1,3,1,80,52,2,,,,2,,,.,2,,2,,2,,600000,2,1,,52,10,21.511374558
5597239,1,3,1,80,52,2,,,,2,,,.,2,,2,,2,,700000,2,1,,52,10,29.701803298
5597240,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,38.934556565
5597243,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,26.872720831
5597245,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,25.64928143
5597246,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,28.152840266
5597248,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,29.08613182
5597249,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,30.599719068
5597250,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,10,26.131604651
5597251,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,38.609032934
5597252,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,2,52,10,39.453282791
5597253,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,10,20.870742136
6004972,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004973,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004975,1,4,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,11,10.374401341
6004978,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004978,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004979,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004983,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004984,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004984,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004984,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004985,1,1,1,80,52,1,6,,2,,,8,,2,,2,,,,,2,1,4,52,11,10.374401341
6004985,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004985,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004989,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004990,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,11,23.031901527
6004991,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004991,1,3,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6004991,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6004992,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,11,27.983254185
6004995,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,47.722246169
6017499,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6017501,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,36.500026375
6017503,1,3,1,80,52,1,2,,2,,,2,,2,,1,30000,,,,2,1,1.2,52,11,10.374401341
6017505,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,23.936275402
6017507,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017513,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,11,27.830749797
6017514,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017516,1,2,1,80,52,1,6,,1,,2,9,,2,,2,,2,,900000,2,1,3,52,11,10.374401341
6017516,1,6,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,2,52,11,10.374401341
6017519,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,45.992516335
6017520,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,1.4,52,11,10.374401341
6017525,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6017526,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017526,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017527,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,3,52,11,34.657621234
6017532,1,2,1,80,52,1,2,,2,,,2,,2,,2,,1,20,908000,2,1,2,52,11,27.516445594
6017533,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017533,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,3,52,11,10.374401341
6017536,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,11.175057923
6017537,1,1,1,80,52,1,5,,1,,3,10,,3,,2,,,,,3,1,3,52,11,23.193701341
6017539,1,5,1,80,52,2,,,,1,3,2,,2,,2,,1,20,700000,2,1,,52,11,10.374401341
6017540,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017540,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017543,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,3,52,11,27.983254185
6017545,1,2,1,80,52,1,2,,2,,,2,,2,,2,,1,20,900000,2,1,2,52,11,27.983254185
6017546,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,11,10.374401341
6017547,1,1,1,80,52,1,6,,2,,,1,,2,,2,,,,,2,1,4,52,11,28.573323858
6017549,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,36.780960133
6017549,1,4,1,80,52,1,8,,1,,1,1,,2,,2,,1,20,500000,2,1,2,52,11,36.780960133
6017550,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017550,1,6,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017550,1,7,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6017554,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,3,52,11,39.294669689
6017555,1,2,1,80,52,1,3,,2,,,9,,2,,2,,2,,400000,2,1,2,52,11,47.722246169
6017559,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6017561,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,14.134649528
6017562,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024497,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,20.915963426
6024499,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,47.722246169
6024500,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024500,1,9,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024501,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,20,400000,2,1,,52,11,33.362876702
6024501,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,33.362876702
6024503,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,27.983254185
6024504,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,16,400000,2,1,,52,11,10.374401341
6024504,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024505,1,1,1,80,52,1,8,,2,,,4,,2,,2,,,,,2,1,3,52,11,47.722246169
6024505,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,47.722246169
6024505,1,6,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,47.722246169
6024506,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024508,1,1,1,80,52,2,,,,1,2,4,,2,,2,,,,,2,1,,52,11,10.374401341
6024508,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024508,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024508,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024509,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,2,52,11,44.162555096
6024510,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,39.011841304
6024510,1,4,1,80,52,2,,,,2,,,.,2,,2,,1,20,500000,2,1,,52,11,39.011841304
6024511,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024512,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024513,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6024513,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,11,10.374401341
6024513,1,3,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,11,10.374401341
6044459,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,1.4,52,12,57.014473684
6044459,1,3,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,57.014473684
6044460,1,2,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
6044460,1,3,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
6044460,1,4,1,80,52,1,4,,2,,,4,,2,,2,,2,,700000,2,1,3,52,12,13.574874687
6044461,1,3,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
6044463,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,12,13.574874687
6044464,1,1,1,80,52,1,7,,2,,,8,,2,,2,,,,,2,1,3,52,12,57.014473684
6044465,1,1,1,80,52,2,,,,1,2,1,,1,2,2,,,,,1,1,,52,12,13.574874687
6044467,1,3,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,57.014473684
6044470,1,3,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
6044471,1,4,1,80,52,2,,,,2,,,,2,,2,,1,20,1000000,2,1,,52,12,13.574874687
6044473,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,3,52,12,46.896177945
6044475,1,2,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
6044480,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,12,27.96406206
6044483,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,3,52,12,13.574874687
6044483,1,7,1,80,52,2,,,,2,,,,2,,2,,,,,2,1,,52,12,13.574874687
