DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,DPTO,MES,fex_c_2018,RAMA4DP8_R4
5407410,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,700000,1,,3,,11,2,,,,,1,1,2,50,,.,50,,,1,8,,3,,2,,,,1,,,,1,,,,,,2,2,1,0,120,4,,2,,,,,,,,3,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,46,1,4,4620,700000,52,03,23.614109601,
5407410,1,2,1,60,52,52,1,2,2,9,2,4,1,1,1,1,5,,5,,1,2900000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,700000,2,,2,,2,,2,,,.,,,,,,,,,.,5,,,,,,,,,48,,.,48,,,6,7,,1,,1,2,1,6,1,1,,,,,,,,,1,2,1,15,18,1,,2,,,,,,,,1,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,19,84,1,1,8413,2900000,52,03,23.614109601,8412
5410042,1,4,1,60,52,52,1,1,,,1,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,900000,1,,3,,6,2,,,,,1,1,1,48,,.,48,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,36,1,,2,,,,,,,,1,12,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,46,1,4,4632,900000,52,03,11.601827632,
5410044,1,1,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,150000,1,,1,,10,2,,,,,3,1,2,24,1,,24,,,8,5,,2,,2,,,,1,,,,,,,,,1,2,2,1,21,60,4,,2,,,,,,,,3,3,20,,1,12,2,1,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,4,4792,150000,52,03,16.926382133,
5410044,1,2,1,60,52,52,2,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,500000,1,,3,,10,2,,,,,3,1,2,48,,.,48,,,2,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,9,90,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,64,03,1,4,0312,500000,52,03,16.926382133,
5410044,1,3,1,60,52,52,1,2,2,12,1,,1,1,1,1,10,,3,,1,1200000,2,,,2,,2,,2,,2,,2,,,1,106000,1,2,,,2,,,2,,,2,,,1,600000,1,600000,2,,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,48,,.,48,,,6,7,,1,,1,2,1,1,1,1,,,,,,,,,1,1,1,5,36,1,,2,,,,,,,,1,11,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,33,10,1,1,1081,1200000,52,03,16.926382133,
5410045,1,1,1,60,52,52,2,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,400000,1,,3,,12,2,,,,,3,6,2,60,,.,60,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,0,48,4,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,5,,41,47,1,4,4711,400000,52,03,19.88145518,
5410045,1,2,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,10,2,,,,,2,6,2,50,,.,50,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,36,1,,2,,,,,,,,1,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,61,01,1,4,0127,600000,52,03,19.88145518,
5415178,1,1,1,60,52,52,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,10,2,,,,,3,3,2,48,,.,30,6,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,10,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,89,30,1,4,3011,800000,52,03,29.43161785,
5415179,1,1,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,900000,1,,3,,12,2,,,,,3,1,1,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,120,4,,2,,,,,,,,3,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,98,49,1,4,4921,900000,52,03,22.431687684,
5415180,1,3,1,60,52,52,2,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,2,1,1,48,,.,48,,,1,1,,2,,2,,,,1,,,,1,,,,,,2,2,1,2,48,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4723,600000,52,03,30.06717168,
5415180,1,5,1,60,52,52,2,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,,3,,11,1,1,1,0,0,3,1,2,40,,.,40,,,2,8,,2,,2,,,,1,,,,1,,,,,,2,2,2,,,,,2,,,,,,,,,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,64,03,1,5,0312,500000,52,03,30.06717168,
5415181,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,132,,5,,1,2400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,2400000,1,2400000,1,2400000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,60,,.,60,,,9,7,,1,,1,2,1,11,1,1,,,,,,,,,1,1,1,4,36,1,,2,,,,,,,,8,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,58,84,1,2,8423,2400000,52,03,19.834470276,
5415181,1,2,1,60,52,52,1,2,1,,2,4,1,1,1,1,60,,5,,1,2500000,2,,,2,,2,,2,,2,,2,,,1,300000,2,2,,,2,,,2,,,2,,,1,1250000,1,2500000,1,1250000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,40,,.,40,,,9,7,,1,,1,2,1,12,1,1,,,,,,,,,1,1,1,4,48,4,,2,,,,,,,,1,9,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,13,85,1,2,8530,2500000,52,03,19.834470276,8413
5415182,1,1,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,100000,1,,1,,9,2,,,,,3,1,2,12,1,,12,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,1,30,1,1,2,,,,,,,,,,,,,,1,2,1,2,2,2,3,,57,96,1,4,9602,100000,52,03,23.054761118,
5415183,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,900000,1,,3,,12,2,,,,,3,3,2,54,,.,54,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,4,4711,900000,52,03,22.434537897,
5415184,1,1,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1500000,1,,3,,10,1,1,0,1,0,2,1,1,48,,.,48,,,2,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,12,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,95,41,1,4,4111,1500000,52,03,22.434537897,
5415185,1,1,1,60,52,52,2,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,100000,1,,3,,10,2,,,,,3,5,2,40,,.,24,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,94,32,1,4,3290,100000,52,03,26.090367505,
5415187,1,1,1,60,52,52,1,1,,,1,,1,2,2,2,10,,1,,2,400000,2,,,1,160000,2,,2,,2,,2,,,1,60000,2,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,10,,,,,,,,,36,2,,36,,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,5,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,54,97,1,3,9700,560000,52,03,34.217657694,
5415187,1,2,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,840000,1,,3,,10,2,,,,,3,1,1,56,,.,56,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,10,8,4,,2,,,,,,,,3,3,4,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,5,,98,49,1,4,4921,840000,52,03,34.217657694,
5419021,1,1,1,60,52,52,1,2,2,6,1,,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1200000,1,,3,,9,2,,,,,1,1,1,56,,.,56,,,9,7,,1,,1,2,2,20,1,1,,,,,,,,,1,2,1,6,206,1,,1,52,24,4,,200000,1,1,3,2,10,,2,,,,1,1,1,1,1,1,2,2,1,1,2,,2,1,2,2,2,2,2,1,3,,59,86,1,4,8621,1400000,52,04,11.343160377,
5422774,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,48,,5,,1,3750000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1849500,1,1849500,1,1849500,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,40,,.,40,,,9,8,,1,,1,2,1,4,1,1,,1,,,,,,,1,1,1,12,12,1,,2,,,,,,,,8,15,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,3,,21,74,1,1,7490,3750000,52,04,41.317039828,
5422774,1,2,1,60,52,52,1,2,1,,1,,1,1,1,1,54,,2,,2,1292000,2,,,2,,2,,2,,2,,2,,,1,108000,2,2,,,2,,,2,,,2,,,1,646000,1,646000,1,646000,1,160000,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,6,1,1,,,,,,,,,1,1,1,2,6,1,,2,,,,,,,,8,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,64,1,1,6412,1292000,52,04,41.317039828,
5422775,1,1,1,60,52,52,2,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,800000,1,,3,,10,2,,,,,3,1,1,48,,.,48,,,1,5,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,45,92,1,4,9200,800000,52,04,11.343160377,
5422775,1,2,1,60,52,52,2,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,,3,,12,2,,,,,3,1,2,60,,.,60,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,50,15,4,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4711,500000,52,04,11.343160377,
5422775,1,3,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,1000000,1,,3,,10,2,,,,,3,1,2,48,,.,48,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,56,1,4,5619,1000000,52,04,11.343160377,
5422776,1,1,1,60,52,52,1,1,,,1,,1,2,2,2,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,700000,1,,3,,10,2,,,,,1,1,1,48,,.,48,,,3,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,84,33,1,4,3312,700000,52,04,11.343160377,
5423400,1,1,1,60,52,52,1,2,2,12,1,,1,1,1,1,2,,1,,2,2200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,800000,1,800000,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,60,,.,60,,,2,7,,1,,1,2,1,10,1,1,,1,,,,,,,1,1,1,3,114,1,,2,,,,,,,,1,8,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,40,47,1,1,4774,2200000,52,04,11.343160377,
5423400,1,2,1,60,52,52,1,2,2,12,1,,1,1,1,1,15,,5,,1,3200000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1550000,1,1550000,1,1200000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,1,36,1,,2,,,,,,,,8,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,19,94,1,1,9499,3200000,52,04,11.343160377,
5423401,1,1,1,60,52,52,2,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,1200000,1,,3,,12,1,1,0,1,0,3,6,2,66,,.,66,,,2,1,,2,,2,,,,1,,,,1,,,,,,2,2,1,6,108,1,,2,,,,,,,,10,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,2,1,2,,41,47,1,4,4711,1200000,52,04,11.343160377,
5423401,1,2,1,60,52,52,2,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,2020,1,800000,1,,3,,12,1,1,0,1,0,3,6,2,54,,.,54,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,2,,45,47,1,4,4711,800000,52,04,11.343160377,
5423403,1,1,1,60,52,52,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,1,2,,,,,3,1,1,70,,.,70,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,48,1,,2,,,,,,,,5,3,4,,2,,,,1,1,1,1,1,1,2,2,1,1,1,INSEGURIDAD,1,1,2,2,2,2,2,2,3,,98,49,1,4,4921,1000000,52,04,43.884495337,
5423403,1,2,1,60,52,52,2,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,200000,1,,3,,10,2,,,,,3,1,2,42,,.,42,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,5,,2,,,,1,1,1,1,2,2,2,2,1,1,2,,1,1,2,2,2,2,2,1,3,,45,56,1,4,5619,200000,52,04,43.884495337,
5423689,1,1,1,60,52,52,1,1,,,1,,2,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,700000,1,,3,,9,2,,,,,1,1,1,48,,.,48,,,9,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,4,4,,2,,,,,,,,1,2,25,,2,,,,1,1,1,1,2,1,2,2,1,2,2,,1,1,2,2,2,2,2,1,3,,03,92,1,4,9200,700000,52,04,11.343160377,
5423689,1,2,1,60,52,52,1,1,,,1,,2,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,400000,1,,3,,11,2,,,,,1,1,2,48,,.,48,,,9,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,36,1,,2,,,,,,,,1,2,20,,2,,,,1,1,1,1,2,1,2,1,2,2,2,,1,1,2,2,2,2,2,1,3,,45,92,1,4,9200,400000,52,04,11.343160377,
5423692,1,2,1,60,52,52,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,2,6,2,48,,.,28,6,,1,2,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,12,4,,2,,,,,,,,10,12,15,1,1,12,2,1,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,03,95,1,4,9522,600000,52,04,52.178537736,
5423693,1,1,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,300000,1,,3,,12,1,1,0,1,0,3,1,2,48,,.,48,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,120,4,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,41,47,1,4,4711,300000,52,04,11.343160377,
5423693,1,3,1,60,52,52,2,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,300000,1,,3,,12,1,1,0,1,0,3,6,2,24,3,CUIDAR A PERSONA 2 QUE ESTA DISCAPACITADA,24,,,2,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,41,47,1,4,4711,300000,52,04,11.343160377,
5423694,1,2,1,60,52,52,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,600000,1,,3,,10,2,,,,,3,1,1,60,,.,60,,,2,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,2,36,4,,2,,,,,,,,3,11,20,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,3,,16,13,1,4,1313,600000,52,04,52.178537736,
5423694,1,5,1,60,52,52,1,1,,,1,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,600000,1,,3,,2,2,,,,,1,1,1,48,,.,48,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,11,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,56,1,4,5619,600000,52,04,52.178537736,
5423695,1,2,1,60,52,52,2,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,900000,1,,3,,11,2,,,,,3,1,2,48,,.,48,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,25,,2,,,,2,,,,,,,,,,,,,,1,2,1,2,2,1,3,,45,47,1,4,4781,900000,52,04,11.343160377,
5423697,1,1,1,60,52,52,1,2,1,,1,,1,1,1,1,60,,1,,2,2000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1000000,1,1000000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,3,7,,1,,1,2,1,9,1,1,,,,,,,,,1,1,1,3,12,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,40,47,1,1,4774,2000000,52,04,11.343160377,
5423697,1,2,1,60,52,52,1,2,2,12,1,,1,1,1,1,36,,2,,2,907000,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,440000,1,440000,1,440000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,4,8,4,,2,,,,,,,,1,11,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,33,46,1,1,4631,907000,52,04,11.343160377,
5423698,1,1,1,60,52,52,1,2,2,12,1,,1,1,1,1,12,,3,,1,2000000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1000000,1,1000000,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,5,1,1,,,,,,,,,1,1,1,6,24,1,,2,,,,,,,,1,11,20,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,08,62,1,1,6201,2000000,52,04,11.343160377,
5423698,1,2,1,60,52,52,1,2,2,12,1,,1,2,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3000000,1,,3,,12,2,,,,,1,1,1,48,,.,48,,,5,8,,1,,1,2,1,8,1,1,,,,,,,,,1,2,1,6,12,1,,2,,,,,,,,1,11,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,05,94,1,4,9499,3000000,52,04,11.343160377,
5427547,1,2,1,60,52,52,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,900000,1,,3,,11,2,,,,,3,1,1,54,,.,54,,,1,4,,4,,2,,,,1,,,,,,,,,1,2,2,1,1,240,4,,2,,,,,,,,1,3,3,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,5,,98,49,1,4,4921,900000,52,04,52.178537736,
5427548,1,1,1,60,52,52,2,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,1000000,1,,3,,11,2,,,,,3,1,1,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,240,4,,2,,,,,,,,11,3,3,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,98,49,1,4,4921,1000000,52,04,11.343160377,
5427548,1,2,1,60,52,52,1,2,1,,2,4,1,1,1,1,120,,3,,2,2500000,2,,,2,,2,,2,,2,,2,,,1,300000,2,2,,,2,,,2,,,2,,,1,1250000,1,1250000,1,1250000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,40,,.,40,,,7,7,,1,,1,2,1,10,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,15,60,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,13,85,1,2,8530,2500000,52,04,11.343160377,8413
5427548,1,4,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,600000,1,,3,,10,2,,,,,3,1,2,48,,.,48,,,1,6,,2,,2,,,,1,,,,,,,,,1,2,2,1,3,12,4,,2,,,,,,,,3,15,60,,2,,,,1,1,1,1,2,1,1,2,1,1,1,INSEGURIDAD,1,1,2,2,1,2,2,1,3,,45,47,1,4,4781,600000,52,04,11.343160377,
5427549,1,2,1,60,52,52,2,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,200000,1,,1,,12,2,,,,,3,1,2,20,1,,20,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,12,12,1,,2,,,,,,,,1,14,,,1,28,2,1,1,1,1,1,2,1,2,2,2,2,2,,1,1,2,2,1,2,2,1,5,,45,47,1,4,4724,200000,52,04,23.600909437,
5428107,2,1,2,60,52,52,1,2,1,,1,,1,1,1,1,60,,3,,2,908500,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,450000,1,450000,1,450000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,10,1,1,,,,,,,,,1,1,1,24,18,1,,2,,,,,,,,1,3,8,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,39,46,1,1,4663,908500,52,04,11.692329557,
5428107,2,2,2,60,52,52,1,2,2,12,2,4,1,1,1,1,120,,3,,1,908500,2,,,2,,2,,2,,2,,2,,,1,106000,2,2,,,2,,,2,,,2,,,1,450000,1,450000,1,450000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,10,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,3,15,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,13,88,1,1,8890,908500,52,04,11.692329557,7810
5432450,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,1200000,1,,3,,10,1,2,2,0,0,3,1,1,48,,.,48,,,2,9,,2,,2,,,,1,,,,,,,,,1,2,2,1,4,60,4,,2,,,,,,,,3,12,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,9,,95,41,1,5,4111,1200000,52,04,11.343160377,
5432450,1,2,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,400000,1,,3,,12,2,,,,,3,3,2,48,,.,48,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,6,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,41,47,1,4,4711,400000,52,04,11.343160377,
